geneID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
A2ML1	8.43552275037354	7.989480553118998	7.983121039794798	7.663561441157102	7.774047063612345	7.828210009243914	3.8270261325073336	4.211919873327091	2.820922604901187	5.6633331930610025
AADAC	3.67183077710712	3.0029406469594075	3.322397947253524	3.74943865376614	4.191217313161332	2.079227455072562	-3.561892382269444	0.1843075676033102	-1.1330585299665208	-0.5269333102671593
AADACL2	6.776399127817574	6.905762510528706	6.042754615871913	6.60971775403044	6.023230580032028	5.091128786854736	-6.049753879069767	2.7868539215016974	1.9087533329356814	3.416176083599465
AARD	2.743479416566558	1.767672838093712	2.643978912616425	1.937781442875137	2.7050077057090425	0.9905521884704654	0.11936224243593392	0.1490518507735877	-0.1057389743887943	0.09104480148096061
ABCA10	4.400131062384046	4.415625611779525	6.327856478779354	4.188147165151301	2.775090378589223	2.2217568947255506	2.8343284181364163	2.4211878928244306	2.4173167306763874	0.7711078418798311
ABCA12	8.424254656292382	7.603519696827931	7.737023245036943	7.420042035757688	8.052680917963873	7.145424974725049	3.056919632785002	5.057816015049895	4.515125401106959	6.483068597275737
ABCA4	2.862394522787293	1.6527993638263894	2.354305300715072	0.4094354556109767	1.7794668538955125	-1.9023580560093296	-2.0593529183726265	0.5126869935667341	-2.3856818435171165	-0.9764112654942967
ABCA8	5.354266004114002	6.0087169119963795	6.572180756721963	6.815044131893071	5.954493346858094	2.8287820635572984	4.411671052408615	3.2492919942001834	3.17866719213698	4.115538089107832
ABHD12B	5.000222186580328	4.737021153323334	4.761017164813246	4.127601976171315	4.517218786132192	3.140123406453576	1.7274718562586722	2.030604825463938	1.6052372584560097	3.022586000823982
ABHD16B	-0.4121523826862084	0.02215469849186448	-0.5248923216322566	0.14748942931671724	0.7372718138716642	2.09734764417279	2.050541021791309	2.3358038768931806	1.8231140312791672	1.5142298570212422
ABI3	1.4648300972880726	1.972416189935734	0.6874769760235426	1.1201502009115851	-0.2709552841781266	4.707600044641235	4.939431239502744	4.97363950197343	5.159146094459888	4.847255181478423
AC007192.4	1.7451863375020116	2.5139649235118267	2.91758811179091	3.070681397926696	4.047926433925636	4.971477030739467	4.19700125267407	4.3507335893857855	4.490485152229612	5.164686469900145
AC007325.2	4.8032229165859555	4.447438664583688	4.5074015514156	4.852271726962925	4.565028972026377	2.048078150967959	-3.129376237354463	-2.359508713897745	-0.7988381889816648	0.33346303113723297
AC009950.1	-6.495644090823147	-1.3158652754378666	-6.540970938081874	-5.205006816170501	-2.2541277446524948	1.00945750694379	1.2868776088877143	2.641388256745404	1.269616678769472	2.0596940213047694
AC013264.1	2.241944136289818	2.414176861306853	2.619526095777015	2.369373422642527	3.68287955555907	4.503715952709332	5.17698337407898	4.729016566648005	5.554536168753266	4.76097638131109
AC015688.3	-0.4958497199647927	0.046721627061555464	-0.19461261653782694	-1.0885290764798994	-0.27343479952586763	2.044525103672125	2.449764523777778	1.5729097732130755	1.5821891291885206	3.0176161657280804
AC025335.1	7.047557200021288	6.809714336307632	6.4634584797697565	6.789191048167364	6.182115262157134	5.43865009317113	2.195054474709852	3.176074726543326	3.092085447354334	3.6036988704088886
AC093616.4	-2.3770360526870773	0.28201910254582313	0.8872563443006979	-0.15353619063042329	-2.2541277446524948	1.6924780928135446	2.7879148208610203	3.7831007692278433	3.021955466077705	1.4100496670413574
AC141272.1	-6.495644090823147	-5.187171846811846	-6.540970938081874	-5.205006816170501	-2.2541277446524948	3.213946908466485	1.2414518045031693	1.6168096149652718	3.6763535541359316	1.7687448514947028
ACADL	2.80514082059267	2.807838667804038	3.7685992625853486	3.0287294659375044	0.47285109421269467	-2.47242776414323	-1.78362155109128	-1.9606523066273374	-2.701801517286828	-1.7702261079843242
ACADSB	6.604312566354776	6.452964708812751	6.335527941436793	5.968739154837126	5.672701238690783	3.9193660559348857	4.38948938651969	4.202442471512504	4.232826723208957	4.619174329970065
ACAP1	3.4316214126465967	3.760607411651205	3.8092518174865164	3.7221407698179196	2.4001251553484315	5.870105281287563	6.06625414022263	6.49378969962754	6.700692897072848	5.262715523526995
ACER1	5.258727823029443	4.874320260742224	4.545739312706166	4.383328918587618	4.251902199040252	3.498509900184897	-2.7960267215178196	0.26550436585362613	0.4471670609251391	2.0631185384693818
ACOD1	-4.876872502914706	-5.164837296082184	-6.540970938081874	-5.205006816170501	-0.7800630014573692	1.1458438664287827	3.3124384099773607	6.531552972947673	5.344379759137049	4.158979101504851
ACP2	3.549547037532932	4.05071980057689	3.9062501016474873	4.290279342906657	5.189187883214664	6.161192332948851	5.812872046133162	6.618312566416276	6.890335658228768	6.943280880597442
ACP5	4.7811447164705285	4.7127229813075076	4.018292333110759	4.757286937906458	5.449392612230472	8.219634373915603	6.797249125904789	6.838296368868025	7.201251343454338	7.251782438400047
ACRBP	-0.3454205986654162	-0.574143845821035	0.21550424969943968	-0.32263868795318046	-2.2541277446524948	1.2974366005797304	1.6850805759843206	1.0731779034433286	2.046499969384277	1.8805644876008814
ACSL5	2.15809518789595	3.578812379615438	3.2356848489678836	3.449711942353712	3.4695225387305606	5.826955757555288	5.999810296216412	5.9168213729034065	6.2394079549883585	6.42360154180493
ACSL6	0.22673148836374657	0.45317987263847687	0.9823856616310681	0.36632863160243395	2.435591495333316	2.712460525412308	2.370378907602443	3.516811092507665	3.858623360418024	3.638615586160397
ACVR1C	3.0189466876311575	4.732237737814531	5.0394004171872835	5.27853336099797	4.513242468676071	0.5222713217478802	1.1326103388068054	0.17760584674672267	0.16931777290606148	-0.150622943040998
AD000671.6	-0.8189640963544215	0.7488838765602936	-1.2469101449303777	1.1203100280413136	1.6657529342233655	3.772041383393939	3.608230890343397	3.7127575869260587	4.043990167337996	3.6194571069226935
ADAM12	1.9125145513438524	3.3518866244926504	4.956848213854666	3.094269753358082	3.708894379287427	7.0432464972008235	7.890485805397231	6.171693062096984	6.812920313961294	6.390982704108776
ADAM19	2.4727040876780317	2.462413842814794	3.114417462835689	3.1019590788345273	1.6490620825357223	6.05450654753399	6.726983738294684	6.721946637784975	6.861174319512534	6.470917903456744
ADAM22	3.5077267504015945	4.24884757961029	4.419906395774844	4.492774083487703	3.981186900257905	0.5620232418456829	2.8599181784632237	2.162722665072321	3.083199436802695	2.0245682078184113
ADAM28	2.0427409340123126	2.5820466987058412	2.8068293834454328	2.856304588072734	2.1430425287216193	6.08336613393253	6.004411254666333	5.567715247573798	6.2023629458094085	6.181037643536969
ADAM8	1.770549817320707	2.2496907721199317	1.8883865373551483	2.5806887924548665	1.719757463674748	6.16455014659032	6.707263184779768	6.755711611417337	7.137928054079206	6.049539981177621
ADAMDEC1	0.04823077722574271	1.7332307887847684	-1.5778598805553594	0.40316111215118333	-0.725486289624515	8.971218143672123	7.219145732656902	7.849460467415265	8.619544051104787	8.443279002777446
ADAMTS14	1.2424524311204168	0.706104464939178	0.8879500444287187	-0.38316446195904363	-2.2541277446524948	2.8426899203849327	4.1445230694925215	3.076340972265455	2.653478600911762	2.906445688862436
ADAMTS15	3.418336739107262	4.317391074377083	4.106384703390454	2.846539523584341	2.8343633293052655	2.1212394226499196	2.647386605311454	0.5815361465035238	0.3579106454090791	2.0794767584401663
ADAMTS2	3.4058764933738526	4.118575190464183	4.820699679710008	4.674791443234371	6.385011006277496	6.950560464903737	7.214059044407046	6.862868614795849	6.9420394281005695	7.122101786852056
ADAMTS4	2.555420924405337	3.5050076004524837	2.8588207743862686	1.5616350681279254	1.73553447846675	6.615155346728928	7.876731836623889	8.416370246021321	7.287216595735808	7.538054112055064
ADAP1	1.5352963848878234	2.5183055561055685	1.482063260529225	1.1860570212870591	0.1742232009688126	3.7460949184531454	4.166797194559418	4.650312671115879	4.78458233350677	3.5344807616513356
ADAP2	3.5346803988228026	4.172198206075845	3.701766458109985	4.5346774365136415	6.453207758952434	6.524362665934505	6.1250371058225745	6.608141855712049	6.423457128971063	6.458654691630256
ADCY2	4.6912292140119805	5.128753903796282	4.788894839008455	5.10020063377695	3.9190315905456603	0.4097656133690034	1.4489147192610283	1.3358966603522244	1.1833503755844121	1.3118125700332035
ADCY5	2.5999299375357996	3.921521895107124	4.01859208947054	3.637682504347565	3.474218800420883	-0.10477976924733402	2.638734850635094	0.6865550428903677	-0.5452783456903794	0.4806134226443367
ADCY8	4.496913947254974	2.6941040246196772	3.3417678881454953	2.160274389860637	3.186615673388813	-0.4997933353569651	-2.6524599444724952	-5.036964489832293	-4.662836133459775	-5.553958564863893
ADGRE1	-1.782375970624146	-0.9110751197749395	-1.900942099877683	0.9582400138573108	0.9739980512069188	1.7247439658767325	2.928902324616412	3.4425867784752313	3.1671886479318876	3.1793093800672887
ADGRE2	3.0067509959463448	3.3239605000886145	3.5462180224629005	3.4184257386939545	2.2768192081886096	5.162882219039673	6.090291149225738	6.198681258490919	5.830788978968371	6.53598266176729
ADGRE5	3.7280943093149026	4.661165139516104	4.146477559859316	4.70990854501104	4.919108440975143	5.541740584647741	6.7128516789761905	6.992709314589017	6.546549581442712	7.101512925460699
ADGRF2	3.6663611386395947	3.107047533791531	3.555245957650296	3.2282942057475332	1.259153019292479	0.9150692732643282	-2.4267351590106805	-1.0280260248380446	-0.9711773216241962	-1.0433745362818692
ADGRF4	6.447043278245664	5.936747061072475	5.915697622459767	6.060089942764755	5.910000778276771	4.602953868713122	0.6333046499215136	2.1902872571050924	2.131953130836661	3.1820981146170704
