geneID	FCtl_LE_1	FCtl_LE_2	FCtl_LE_3	F1h_LE_1	F1h_LE_2	F1h_LE_3	F3h_LE_1	F3h_LE_2	F3h_LE_3	F12h_LE_1	F12h_LE_2	F12h_LE_3	F24h_LE_1	F24h_LE_2	F24h_LE_3
Smp_197050.1	0.6281763706228765	1.1077858439125192	0.6888092945664899	0.07970574309166148	0.14693845771018493	1.6414272521093602	0.59198428439695	0.628214366702671	0.8625625020954344	2.2666652101092035	2.2520228771656026	2.2501111836521375	2.352785879612728	1.6830749156054103	2.5069798757572004
Smp_158430.1	3.2283824085702912	3.0617480255757448	2.9152490068650576	2.9537385389878774	2.6850736570663436	3.040212212124806	3.140771147065651	2.952747285331822	3.323626220775563	4.469073666111752	4.3898573391398035	4.508468737521144	4.379481365234048	4.286932847898888	4.731910239797697
Smp_130970.1	5.336217959667268	5.192320659369313	5.2457071604293795	5.34459329283648	5.371168967804266	5.247299621659436	5.348831210174327	5.151731677742465	4.960707530610921	2.9721035919363823	3.3568720546873805	2.969901073980823	1.624584590217175	2.151126303138751	2.1282488877627586
Smp_089670.1	6.70125297893061	6.647429515971007	6.369452648507478	6.753270119666624	6.400938631046795	7.180635640061261	6.559186848260699	6.491579244466968	6.842271469690623	8.849293921561245	9.229927983642037	8.152679783834344	9.101738662400756	8.629275331380734	8.913256665188575
Smp_151660.1	2.9648091486520753	2.679973013520064	2.843500509324551	3.0359083526700728	2.600337229608668	3.052214881447072	3.1058670140911433	2.539694556926394	3.095689554394778	1.5756267669729034	1.7242003720077612	1.2371688915426045	0.33458902040154187	0.3257865827149257	1.0793911831391434
Smp_167830.1	2.6083061640131744	1.8628335921196415	2.887089382339203	2.2461711610966693	3.0090986308130154	3.451628306001145	2.5597065850247858	2.4123555867896083	2.017262484908225	3.966600924753495	4.62204886514118	3.436799640467979	5.12890050363103	5.630487205815204	4.311053193772972
Smp_056260.1	3.1884323640981758	3.1914430634910915	3.647936489607052	2.956869727563851	3.3657052697547902	3.767850655830187	3.628553607603571	3.6040780749975485	3.0130763625830217	2.642546530380471	2.746766816039107	2.2294887279074156	2.387628526572178	2.549668154372441	1.9639871114706644
Smp_056280.1	1.379718310886989	1.0752510440950684	1.0619977308655664	1.635405613447998	1.0149615752932795	1.5863395514185914	1.431437793739797	1.5504577849569765	1.1827617042600027	-1.1149785342716085	-0.16183848438897988	-1.380230213078868	-1.2483531928572844	0.2599319623468052	-0.9528787107399055
Smp_056290.1	3.6328865254056506	3.637993321505827	3.3509451231150718	3.757888375016777	3.398638405200424	3.3380924701875454	3.324455812147858	3.383862801861771	3.812249127866379	2.438504642424104	2.455846957479766	2.248645190339665	1.502450765997452	1.5512422942815722	2.3282053332818853
Smp_163240.1	2.648417308210294	2.6793710582761703	2.216036613676584	2.4815194069818096	2.4688696603119076	3.131659357430629	2.5468784505392823	2.6687915628814074	2.6462919774129223	3.8379886989031116	3.866289397617354	3.053203262594974	3.949928553607109	3.72630313534854	4.136240833125771
Smp_159590.1	3.6621546218102283	4.171699212190121	4.239063027023772	3.67663843664741	3.736191195209761	4.091429153383395	3.729543356639167	3.9252185875681036	3.8520611539167877	5.141909976552518	5.544901762198305	4.868530380430693	5.1990071334991645	5.056936914726621	5.330639903478294
Smp_129610.1	4.944668065928856	5.348039290641691	5.425372010886411	5.276429084137685	5.360167185896876	4.8277543714425	5.190659376110486	5.143821706227422	5.065753366971579	4.012731708554551	4.685686956394871	4.413892572748563	3.851674171379613	3.838384847320329	3.9851865802304065
Smp_124240.1	6.744190724613567	6.787178778674335	7.069739257725704	6.653242130632482	6.951866584475378	6.742279857081927	6.7075811914313315	6.665111271608473	6.206655944171025	4.907309217424388	4.77997356095342	4.933707107653732	5.290332564183162	5.595568275857547	4.893801265307949
Smp_003760.1	1.2188268523612547	1.1767449589072085	1.6073878763916989	1.6200689563625403	2.2273113558281015	1.5476182079409784	2.083080915802628	1.5755442515145135	1.7403043195336556	1.608569506688061	1.3289856825625463	2.1050374992134384	2.3623385825278564	2.3957278743538253	2.1919370027686247
