A	infection	infection	infection	F	F.p.value
ABI1	6.95843916812484	0.459289922635183	2.29489918834042	0.0407801491658626	5.26656228464551	0.0407801491658626
ABI2	5.34871638141731	-0.284804892094569	-1.86704322508178	0.0867649750186592	3.48585040432378	0.0867649750186592
ABI3	2.96009902420365	3.69195974584618	12.9362469646968	2.33741069511983e-08	167.346485531627	2.33741069511983e-08
ABI3BP	5.76926798594611	0.2630090761315	0.96659121996033	0.353019911994147	0.934298586504399	0.353019911994147
ABL1	5.83790189048921	-0.239582104018875	-1.25291728620581	0.234343301368347	1.56980172607334	0.234343301368347
ABL2	6.49022152027802	1.51254174386838	9.14606822240386	1.00749679530076e-06	83.6505639288658	1.00749679530076e-06
ABLIM1	7.89281691278333	-1.98648052873482	-6.87134558664333	1.81386027033828e-05	47.2153901710828	1.81386027033828e-05
ABLIM2	2.7747056153562	-1.20243689692321	-3.98000053409666	0.00186269812816058	15.8404042514097	0.00186269812816058
ABLIM3	3.89115173382843	-1.46123902988713	-3.45781482169577	0.00480492339550476	11.9564833411389	0.00480492339550475
ABO	1.39882810179985	-1.47119624814405	-3.97234961634496	0.00188839990535383	15.7795614744759	0.00188839990535383
ABR	6.67467964954415	0.394590569506101	2.68149959346779	0.0201366386083532	7.19044006976791	0.0201366386083532
ABRACL	4.45695235529911	1.10456165064231	4.95950822335811	0.000341409990956116	24.5967218175568	0.000341409990956116
ABT1	4.76722780235654	-0.030587485407958	-0.178772398470233	0.861129816787828	0.0319595704547998	0.861129816787828
ABTB1	3.90168345127988	0.372587578830815	1.39027872706369	0.189949477158349	1.93287493892583	0.189949477158349
ABTB2	2.50424234519186	-1.13766227072534	-4.66329506300234	0.000562973000935831	21.746320844622	0.000562973000935831
AC000367.1	1.50545344890388	-0.109132996589418	-0.268092876098016	0.793227413871038	0.0718737902145061	0.793227413871038
AC002543.2	0.314587678554302	0.781511992192735	1.52948768609208	0.152332167867419	2.33933258190732	0.152332167867419
AC002985.3	1.37907338358114	-0.254894518960883	-0.497428241872629	0.627968431552568	0.247434855812495	0.627968431552568
AC003003.5	0.171526706068533	-0.00120487019868085	-0.00325258296477179	0.997458814371154	1.05792959427236e-05	0.997458814371154
AC004381.6	2.01126983370242	-0.355392593520303	-1.25135534295359	0.234892547090691	1.56589019433851	0.234892547090691
AC004556.1	0.765040328536833	0.813450262331038	0.928430052730566	0.371669745948125	0.861982362813281	0.371669745948125
AC004893.11	4.10003382533353	-0.0164139281500546	-0.0894116896759751	0.930244854652075	0.00799445025071287	0.930244854652075
AC004951.5	0.500328134575224	-0.0247757456790018	-0.0966333213828695	0.924629118755236	0.00933799880148495	0.924629118755236
AC004980.7	2.33056425756183	0.255366251752962	1.24306131824984	0.237826345991755	1.54520144092904	0.237826345991755
AC004985.12	-0.100315264631279	0.425227811669231	1.18409578016068	0.259532434301437	1.40208281659433	0.259532434301437
AC005154.7	-0.0579761823984516	0.496306079643855	1.0310669242988	0.323050251961851	1.06309900238299	0.323050251961851
AC006042.8	0.67727263293574	0.091790890491978	0.157814260062029	0.877254572936832	0.0249053406789258	0.877254572936832
AC006116.20	0.211578302938868	-1.31772027803379	-3.73276918836817	0.00290889451171252	13.9335658136307	0.00290889451171252
AC006449.1	-0.421995399662342	0.118270341117109	0.223811921349604	0.826707359037578	0.0500917761382015	0.826707359037578
AC006486.9	1.09412231925233	0.172769383477649	0.503223550832952	0.624009637028773	0.253233942112925	0.624009637028773
AC006978.6	3.05405466587875	-0.762593517747345	-3.49588598030188	0.004480920643571	12.2212187872712	0.00448092064357099
AC007040.11	0.911775898813825	-0.222866622320079	-0.436867413716056	0.670044759119122	0.190853137166955	0.670044759119122
AC007192.4	3.74697306995862	2.05885861156954	6.51092864577834	3.03578090233804e-05	42.392191830417	3.03578090233803e-05
AC007325.2	1.92691818734459	-5.21060653873075	-8.25326555425761	2.92439600851196e-06	68.1163923090951	2.92439600851196e-06
AC008072.1	1.28117325810354	0.0740956089297713	0.171145174616851	0.866990885662288	0.0292906707946324	0.866990885662288
AC008132.13	0.703573582680237	-0.838079264347986	-1.77791697114724	0.101007184327639	3.16098875629339	0.101007184327639
AC009237.8	2.19193475181237	-0.682136196613042	-2.76725060915918	0.0171920318192185	7.65767593389187	0.0171920318192185
AC009950.1	-1.35445807925147	6.01921464826388	7.04829925772425	1.41734210865226e-05	49.6785224264362	1.41734210865226e-05
AC010642.1	1.74896134021212	0.512921075894633	2.11528229129686	0.0562360602412815	4.47441917187408	0.0562360602412815
AC010886.2	0.182230671422741	-0.0860494893403178	-0.179074919349243	0.860897523150483	0.032067826739938	0.860897523150483
AC010970.2	9.08190088412858	2.7166405607656	2.15219026087003	0.0526663077618766	4.63192291898379	0.0526663077618766
AC010980.2	-0.218591169803491	-0.519174470071456	-0.992828954892799	0.340591096545399	0.985709333673527	0.340591096545399
AC011043.1	2.62446556522522	-1.51565121687811	-2.02194034262104	0.0663024345672303	4.08824274911848	0.0663024345672303
AC011330.5	1.58696640582086	-1.55436067928163	-3.04162722538076	0.0103520762971924	9.25149617817744	0.0103520762971924
AC013264.1	3.8053128515076	2.44723888380013	9.17893187959243	9.70228095731838e-07	84.2527904501982	9.70228095731838e-07
AC013461.1	6.66011800017442	-1.0587998117477	-4.99318337938273	0.000322783695351865	24.931880260144	0.000322783695351865
AC015688.3	0.866130011013275	2.54488757427857	6.14477800334908	5.21460180827537e-05	37.7582967104427	5.21460180827537e-05
AC024560.3	3.62952497106761	-0.610877532687159	-2.80155494336857	0.0161369611743473	7.8487101007129	0.0161369611743473
AC025335.1	5.07975999386107	-3.1299276203764	-7.03014853770291	1.4533939920527e-05	49.4229884621663	1.4533939920527e-05
AC026348.1	2.63052080475141	-0.905156361700261	-2.8410806312452	0.0150006097502204	8.07173915323661	0.0150006097502204
AC027612.6	2.24572535145563	-0.638788898520094	-1.89806010520318	0.0822538972260595	3.60263216296392	0.0822538972260595
AC063976.7	0.415398934515737	-0.470603257426608	-1.27581213271769	0.226410010131891	1.62769659798966	0.226410010131891
AC068533.7	0.781202107481363	0.762470415843053	1.83705709859959	0.0913393389935109	3.37477878351516	0.0913393389935109
AC073052.1	0.21387152078306	-0.30688210477993	-0.570244721108366	0.579140179472817	0.325179041951959	0.579140179472817
AC073065.3	1.00059130903762	-0.13390318297208	-0.380496758783131	0.710294686960155	0.144777783444468	0.710294686960155
AC074141.3	0.40458210492189	0.378457631955269	0.875368617932858	0.398731363182807	0.766270217261683	0.398731363182807
AC083899.3	1.60624372441821	0.285598197253386	0.988624636479688	0.342561127762614	0.977378671854596	0.342561127762614
AC084219.2	1.87252850025866	-0.242841674582738	-1.21616319292624	0.247542219457976	1.47905291182856	0.247542219457976
AC090094.1	5.54637191490904	-1.07765128800359	-2.87064780230155	0.0142028109077029	8.24061880485872	0.0142028109077029
AC092835.2	1.39265371996586	0.417092764725351	1.65351206143298	0.12439491008518	2.73410213730433	0.12439491008518
AC093323.3	3.70055764210525	-0.154640025716736	-0.721906609305173	0.484323482055755	0.521149152558492	0.484323482055755
AC093616.4	0.9080074274898	2.97916812349631	4.00137597054889	0.00179278850149542	16.0110096576861	0.00179278850149542
AC093642.5	2.02618633081566	-0.670878989423619	-2.61188361340289	0.0228874666726647	6.82193600996254	0.0228874666726647
AC093724.2	1.81720906068651	1.91284883939267	5.39024483735803	0.000168579729782418	29.0547394066649	0.000168579729782418
AC093838.4	3.38354078806679	-0.326894604026654	-1.90668464945949	0.0810382260973595	3.63544635248446	0.0810382260973595
AC097374.2	3.22367564318693	-0.0781605628247588	-0.235710701273304	0.817672783421076	0.0555595346947527	0.817672783421076
AC098614.2	1.30920925106006	0.577935702865138	2.08276945844788	0.0595678302489063	4.33792861704325	0.0595678302489063
AC104534.3	0.962116413971704	-1.33609300372633	-1.23179227452506	0.241859237348305	1.51731220757963	0.241859237348305
AC109829.1	0.26568064399127	-0.00563785484182744	-0.0101233965301643	0.992090900419335	0.000102483157306942	0.992090900419335
